Date,GP_MRQ,CAPEX_MRQ,EBIT_MRQ,ASSETS_MRQ
2001-07-28,2436000000.0,-457000000.0,62000000.0,35238000000.0
2001-10-27,2692000000.0,-292000000.0,-343000000.0,35540000000.0
2002-01-26,2970000000.0,-190000000.0,932000000.0,36704000000.0
2002-04-27,3068000000.0,-1761000000.0,1024000000.0,37126000000.0
2002-07-27,3283000000.0,-398000000.0,1097000000.0,37795000000.0
2002-10-26,3358000000.0,-122000000.0,872000000.0,37198000000.0
2003-01-25,3317000000.0,-219000000.0,1387000000.0,37346000000.0
2003-04-26,3269000000.0,-163000000.0,1381000000.0,36256000000.0
2003-07-26,3289000000.0,-213000000.0,1373000000.0,37107000000.0
2003-10-25,3506000000.0,-173000000.0,1528000000.0,35850000000.0
2004-01-24,3698000000.0,-220000000.0,1240000000.0,36590000000.0
2004-05-01,3867000000.0,-94000000.0,1721000000.0,35197000000.0
2004-07-31,4055000000.0,-126000000.0,1936000000.0,35594000000.0
2004-10-30,4015000000.0,-159000000.0,1958000000.0,34313000000.0
2005-01-29,4053000000.0,-131000000.0,1957000000.0,33825000000.0
2005-04-30,4135000000.0,-180000000.0,1968000000.0,33970000000.0
2005-07-30,4468000000.0,-222000000.0,2153000000.0,33883000000.0
2005-10-29,4410000000.0,-215000000.0,1759000000.0,31755000000.0
2006-01-28,4466000000.0,-179000000.0,1916000000.0,33652000000.0
2006-04-29,4726000000.0,-201000000.0,1812000000.0,43082000000.0
2006-07-29,5145000000.0,-177000000.0,2146000000.0,43315000000.0
2006-10-28,5233000000.0,-214000000.0,2176000000.0,44908000000.0
2007-01-27,5388000000.0,-334000000.0,2335000000.0,46254000000.0
2007-04-28,5647000000.0,-364000000.0,2419000000.0,48835000000.0
2007-07-28,5991000000.0,-339000000.0,2531000000.0,53340000000.0
2007-10-27,6140000000.0,-296000000.0,2622000000.0,55702000000.0
2008-01-26,6305000000.0,-295000000.0,2638000000.0,55300000000.0
2008-04-26,6270000000.0,-317000000.0,2309000000.0,57123000000.0
2008-07-26,6631000000.0,-360000000.0,3005000000.0,58734000000.0
2008-10-25,6681000000.0,-361000000.0,2669000000.0,58887000000.0
2009-01-24,5723000000.0,-224000000.0,1931000000.0,61357000000.0
2009-04-25,5229000000.0,-209000000.0,1792000000.0,64666000000.0
2009-07-25,5461000000.0,-211000000.0,1647000000.0,68128000000.0
2009-10-24,5888000000.0,-160000000.0,2353000000.0,68680000000.0
2010-01-23,6332000000.0,-248000000.0,2513000000.0,76403000000.0
2010-05-01,6630000000.0,-291000000.0,2585000000.0,79292000000.0
2010-07-31,6793000000.0,-309000000.0,2587000000.0,81130000000.0
2010-10-30,6755000000.0,-326000000.0,2591000000.0,80015000000.0
2011-01-29,6261000000.0,-326000000.0,1891000000.0,81981000000.0
2011-04-30,6659000000.0,-278000000.0,2356000000.0,85350000000.0
2011-07-30,6861000000.0,-244000000.0,1615000000.0,87095000000.0
2011-10-29,6890000000.0,-265000000.0,2393000000.0,86964000000.0
2012-01-28,7065000000.0,-284000000.0,2899000000.0,89259000000.0
2012-04-28,7169000000.0,-281000000.0,2930000000.0,91154000000.0
2012-07-28,7085000000.0,-246000000.0,2533000000.0,91759000000.0
2012-10-27,7239000000.0,-241000000.0,2779000000.0,92643000000.0
2013-01-26,7343000000.0,-277000000.0,2927000000.0,96378000000.0
2013-04-27,7511000000.0,-268000000.0,3090000000.0,97084000000.0
2013-07-27,7347000000.0,-233000000.0,3014000000.0,1.01191e+11
2013-10-26,7407000000.0,-159000000.0,2680000000.0,1.00741e+11
2014-01-25,5951000000.0,-254000000.0,1891000000.0,98427000000.0
2014-04-26,7006000000.0,-369000000.0,2788000000.0,1.01856e+11
2014-07-26,7405000000.0,-261000000.0,2920000000.0,1.0507e+11
2014-10-25,7333000000.0,-282000000.0,2499000000.0,1.03978e+11
2015-01-24,7090000000.0,-263000000.0,3012000000.0,1.04922e+11
2015-04-25,7525000000.0,-354000000.0,3174000000.0,1.06212e+11
2015-07-25,7733000000.0,-306000000.0,3082000000.0,1.13373e+11
2015-10-24,7832000000.0,-256000000.0,3296000000.0,1.11773e+11
2016-01-23,7432000000.0,-309000000.0,3468000000.0,1.12642e+11
2016-04-30,7721000000.0,-304000000.0,3258000000.0,1.18654e+11
2016-07-30,7975000000.0,-236000000.0,3574000000.0,1.21652e+11
2016-10-29,7884000000.0,-273000000.0,3151000000.0,1.26287e+11
2017-01-28,7276000000.0,-248000000.0,3185000000.0,1.26248e+11
2017-04-29,7518000000.0,-229000000.0,3410000000.0,1.2595e+11
2017-07-29,7546000000.0,-207000000.0,3402000000.0,1.29818e+11
