Date,GP_MRQ,CAPEX_MRQ,EBIT_MRQ,ASSETS_MRQ
2001-07-29,4326000000.0,-946000000.0,1512000000.0,24678000000.0
2001-10-28,4010000000.0,-755000000.0,1277000000.0,25667000000.0
2002-02-03,4156000000.0,-789000000.0,1160000000.0,26394000000.0
2002-05-05,4360000000.0,-605000000.0,1382000000.0,30409000000.0
2002-08-04,4946000000.0,-602000000.0,1911000000.0,31480000000.0
2002-11-03,4580000000.0,-666000000.0,1518000000.0,31347000000.0
2003-02-02,4222000000.0,-771000000.0,1103000000.0,30011000000.0
2003-05-04,4829000000.0,-614000000.0,1448000000.0,33747000000.0
2003-08-03,5605000000.0,-870000000.0,2066000000.0,34612000000.0
2003-11-02,5193000000.0,-804000000.0,1823000000.0,35374000000.0
2004-02-01,4953000000.0,-1553000000.0,1509000000.0,34437000000.0
2004-05-02,5768000000.0,-647000000.0,1746000000.0,37948000000.0
2004-08-01,6661000000.0,-832000000.0,2457000000.0,38331000000.0
2004-10-31,6252000000.0,-1228000000.0,2056000000.0,39631000000.0
2005-01-30,5749000000.0,-1145000000.0,1667000000.0,39020000000.0
2005-05-01,6355000000.0,-784000000.0,1999000000.0,41957000000.0
2005-07-31,7409000000.0,-953000000.0,2843000000.0,42689000000.0
2005-10-30,6963000000.0,-991000000.0,2473000000.0,44670000000.0
2006-01-29,5211000000.0,-989000000.0,1929000000.0,44405000000.0
2006-04-30,7228000000.0,-658000000.0,2422000000.0,52679000000.0
2006-07-30,7456000000.0,-780000000.0,3076000000.0,51769000000.0
2006-10-29,6604000000.0,-983000000.0,2379000000.0,52628000000.0
2007-01-28,5850000000.0,-983000000.0,1541000000.0,52263000000.0
2007-04-29,6263000000.0,-645000000.0,1771000000.0,56081000000.0
2007-07-29,7341000000.0,-822000000.0,2623000000.0,56864000000.0
2007-10-28,6339000000.0,-921000000.0,1784000000.0,45506000000.0
2008-02-03,6054000000.0,-852000000.0,1249000000.0,44324000000.0
2008-05-04,6072000000.0,-439000000.0,728000000.0,45596000000.0
2008-08-03,6964000000.0,-423000000.0,2042000000.0,45099000000.0
2008-11-02,5994000000.0,-421000000.0,1323000000.0,44162000000.0
2009-02-01,4960000000.0,-417000000.0,214000000.0,41164000000.0
2009-05-03,5450000000.0,-102000000.0,980000000.0,43767000000.0
2009-08-02,6388000000.0,-131000000.0,1833000000.0,43998000000.0
2009-11-01,5561000000.0,-174000000.0,1263000000.0,43050000000.0
2010-01-31,5013000000.0,-381000000.0,768000000.0,40877000000.0
2010-05-02,5794000000.0,-140000000.0,1305000000.0,43619000000.0
2010-08-01,6582000000.0,-223000000.0,2049000000.0,42535000000.0
2010-10-31,5685000000.0,-261000000.0,1448000000.0,41741000000.0
2011-01-30,5243000000.0,-388000000.0,1037000000.0,40125000000.0
2011-05-01,5828000000.0,-184000000.0,1422000000.0,42797000000.0
2011-07-31,6876000000.0,-258000000.0,2294000000.0,42277000000.0
2011-10-30,5961000000.0,-342000000.0,1615000000.0,41499000000.0
2012-01-29,5597000000.0,-381000000.0,1330000000.0,40518000000.0
2012-04-29,6183000000.0,-221000000.0,1714000000.0,43300000000.0
2012-07-29,7026000000.0,-315000000.0,2569000000.0,41983000000.0
2012-10-28,6267000000.0,-330000000.0,1733000000.0,41661000000.0
2013-02-03,6366000000.0,-396000000.0,1750000000.0,41084000000.0
2013-05-05,6679000000.0,-263000000.0,2094000000.0,44195000000.0
2013-08-04,7721000000.0,-320000000.0,3018000000.0,42192000000.0
2013-11-03,6798000000.0,-347000000.0,2293000000.0,43814000000.0
2014-02-02,5717000000.0,-371000000.0,1761000000.0,40518000000.0
2014-05-04,6757000000.0,-280000000.0,2277000000.0,42629000000.0
2014-08-03,8007000000.0,-335000000.0,3448000000.0,43479000000.0
2014-11-02,7043000000.0,-364000000.0,2553000000.0,41512000000.0
2015-02-01,6582000000.0,-415000000.0,2191000000.0,39946000000.0
2015-05-03,7179000000.0,-317000000.0,2597000000.0,42510000000.0
2015-08-02,8365000000.0,-380000000.0,3647000000.0,43798000000.0
2015-11-01,7565000000.0,-362000000.0,2981000000.0,44152000000.0
2016-01-31,7156000000.0,-401000000.0,2549000000.0,41973000000.0
2016-05-01,7791000000.0,-321000000.0,3077000000.0,44576000000.0
2016-07-31,8927000000.0,-353000000.0,4103000000.0,44247000000.0
2016-10-30,8042000000.0,-441000000.0,3320000000.0,44502000000.0
2017-01-29,7553000000.0,-468000000.0,2927000000.0,42966000000.0
2017-04-30,8154000000.0,-445000000.0,3349000000.0,44944000000.0
2017-07-30,9461000000.0,-378000000.0,4463000000.0,45959000000.0
