Date,GP_MRQ,CAPEX_MRQ,EBIT_MRQ,ASSETS_MRQ
2001-07-31,11857000000.0,-1988000000.0,2927000000.0,81576000000.0
2001-10-31,11798000000.0,-1974000000.0,2683000000.0,88345000000.0
2002-01-31,12439000000.0,-2189000000.0,3546000000.0,83527000000.0
2002-04-30,11990000000.0,-1970000000.0,2819000000.0,85141000000.0
2002-07-31,13265000000.0,-2293000000.0,3365000000.0,88585000000.0
2002-10-31,13119000000.0,-2420000000.0,3056000000.0,95660000000.0
2003-01-31,14904000000.0,-2251000000.0,4130000000.0,94808000000.0
2003-04-30,13306000000.0,-1917000000.0,3117000000.0,96576000000.0
2003-07-31,14934000000.0,-2488000000.0,3931000000.0,98919000000.0
2003-10-31,14743000000.0,-2807000000.0,3377000000.0,1.04825e+11
2004-01-31,16951000000.0,-2615000000.0,4744000000.0,1.05405e+11
2004-04-30,15474000000.0,-2403000000.0,3605000000.0,1.0802e+11
2004-07-31,16926000000.0,-2784000000.0,4392000000.0,1.10782e+11
2004-10-31,16715000000.0,-3331000000.0,3798000000.0,1.19057e+11
2005-01-31,18316000000.0,-3360000000.0,5246000000.0,1.20154e+11
2005-04-30,17109000000.0,-2471000000.0,3925000000.0,1.22215e+11
2005-07-31,18608000000.0,-3612000000.0,4672000000.0,1.24765e+11
2005-10-31,18072000000.0,-3561000000.0,4034000000.0,1.31799e+11
2006-01-31,20870000000.0,-3844000000.0,5825000000.0,1.38187e+11
2006-04-30,19439000000.0,-2953000000.0,4439000000.0,1.40485e+11
2006-07-31,20845000000.0,-3765000000.0,4175000000.0,1.44788e+11
2006-10-31,20702000000.0,-4437000000.0,4499000000.0,1.51119e+11
2007-01-31,23404000000.0,-4117000000.0,6334000000.0,1.51587e+11
2007-04-30,21099000000.0,-2987000000.0,4833000000.0,1.55422e+11
2007-07-31,22410000000.0,-3665000000.0,5116000000.0,1.56949e+11
2007-10-31,22614000000.0,-3766000000.0,4950000000.0,1.65659e+11
2008-01-31,26826000000.0,-3562000000.0,6824000000.0,1.63514e+11
2008-04-30,23568000000.0,-2321000000.0,5252000000.0,1.67483e+11
2008-07-31,25224000000.0,-2261000000.0,5802000000.0,1.66895e+11
2008-10-31,24724000000.0,-2813000000.0,5365000000.0,1.67843e+11
2009-01-31,26797000000.0,-3390000000.0,6280000000.0,1.63429e+11
2009-04-30,23854000000.0,-2475000000.0,5143000000.0,1.6209e+11
2009-07-31,25820000000.0,-3269000000.0,5857000000.0,1.68609e+11
2009-10-31,25458000000.0,-3141000000.0,5356000000.0,1.72502e+11
2010-01-31,28882000000.0,-2297000000.0,7279000000.0,1.70407e+11
2010-04-30,25193000000.0,-2440000000.0,5645000000.0,1.74043e+11
2010-07-31,26288000000.0,-2988000000.0,6096000000.0,1.76944e+11
2010-10-31,26133000000.0,-3649000000.0,5510000000.0,1.8689e+11
2011-01-31,29289000000.0,-3133000000.0,8922000000.0,1.80782e+11
2011-04-30,26012000000.0,-2295000000.0,5761000000.0,1.86225e+11
2011-07-31,27596000000.0,-3264000000.0,6269000000.0,1.93872e+11
2011-10-31,27635000000.0,-3630000000.0,5778000000.0,1.95244e+11
2012-01-31,30273000000.0,-3741000000.0,8135000000.0,1.93406e+11
2012-04-30,27832000000.0,-2325000000.0,6273000000.0,1.971e+11
2012-07-31,28639000000.0,-3039000000.0,6603000000.0,1.95661e+11
2012-10-31,28330000000.0,-3214000000.0,5963000000.0,2.05818e+11
2013-01-31,31705000000.0,-3788000000.0,8378000000.0,2.03105e+11
2013-04-30,28079000000.0,-2933000000.0,6333000000.0,2.02187e+11
2013-07-31,29410000000.0,-3021000000.0,6678000000.0,2.00969e+11
2013-10-31,29001000000.0,-3031000000.0,6190000000.0,2.09876e+11
2014-01-31,31735000000.0,-3403000000.0,7261000000.0,2.04751e+11
2014-04-30,28246000000.0,-2109000000.0,6099000000.0,2.02517e+11
2014-07-31,30115000000.0,-2914000000.0,6776000000.0,2.03762e+11
2014-10-31,29754000000.0,-2761000000.0,6170000000.0,2.07668e+11
2015-01-31,32450000000.0,-3820000000.0,7764000000.0,2.0349e+11
2015-04-30,28343000000.0,-2135000000.0,5757000000.0,2.00747e+11
2015-07-31,30173000000.0,-2622000000.0,5933000000.0,1.9862e+11
2015-10-31,29962000000.0,-3104000000.0,5625000000.0,2.05144e+11
2016-01-31,32668000000.0,-2981000000.0,6485000000.0,1.99581e+11
2016-04-30,29360000000.0,-2120000000.0,5162000000.0,1.98705e+11
2016-07-31,31369000000.0,-2239000000.0,6071000000.0,1.97886e+11
2016-10-31,30695000000.0,-2317000000.0,4975000000.0,2.06857e+11
2017-01-31,33193000000.0,-3487000000.0,6006000000.0,1.98825e+11
2017-04-30,29854000000.0,-1794000000.0,5159000000.0,1.99718e+11
2017-07-31,31834000000.0,-2417000000.0,5014000000.0,2.01566e+11
